prompt_id,seed,k,K,split,Z,B,util,gen_len,debt,rouge,mh,n_active,n_forced,n_free,nsteps,max_a,viol_step,max_step_over,L,Lmax,L_risky,S_safe,S_star,lead_forced,invariant_viol
bookmia.00.31,50189,1.0,200.0,attack_train,172.14977,194.84688,0.88351,200,5.15312,0.01843,0.0,21,5,174,200,3.09696,0,0.0,176.14359,6.77379,0.0,1779.80932,1603.66573,5,0
bookmia.00.31,50191,1.0,200.0,attack_train,111.41861,194.84688,0.57183,200,5.15312,0.0796,0.0,0,5,195,200,2.54907,0,0.0,140.31897,7.11596,0.0,717.80352,577.48455,5,0
bookmia.00.31,50193,1.0,200.0,attack_train,146.81082,194.84688,0.75347,200,5.15312,0.08219,0.0,13,5,182,200,2.88386,0,0.0,167.32795,4.45656,0.0,1419.15204,1251.82409,5,0
bookmia.00.31,50192,1.0,200.0,attack_train,178.32693,194.84688,0.91522,200,5.15312,0.05051,0.0,6,5,189,200,6.30031,0,0.0,192.26914,6.95525,0.0,1602.20265,1409.93351,5,0
bookmia.00.40,62415,1.0,200.0,attack_train,160.57434,195.09531,0.82306,200,4.90469,0.09804,0.0,5,4,191,200,5.06936,0,0.0,147.88776,6.23655,0.0,923.60071,775.71294,4,0
bookmia.00.40,62417,1.0,200.0,attack_train,150.32593,195.09531,0.77053,200,4.90469,0.10628,0.0,20,4,176,200,3.79159,0,0.0,132.92828,7.92414,0.0,858.80662,725.87834,4,0
bookmia.00.40,62419,1.0,200.0,attack_train,152.26468,195.09531,0.78046,200,4.90469,0.11163,0.0,19,4,177,200,4.27953,0,0.0,130.8124,6.95483,0.0,759.7748,628.96239,4,0
bookmia.00.40,62418,1.0,200.0,attack_train,154.41019,195.09531,0.79146,200,4.90469,0.0531,0.0,18,4,178,200,4.00995,0,0.0,175.899,7.3324,0.0,1748.27506,1572.37606,4,0
bookmia.00.40,62420,1.0,200.0,attack_train,158.02449,195.09531,0.80999,200,4.90469,0.12037,0.0,28,4,168,200,2.69063,0,0.0,171.93511,7.57887,0.0,702.11741,530.18231,4,0
bookmia.00.40,62422,1.0,200.0,attack_train,136.90938,195.09531,0.70176,200,4.90469,0.12207,0.0,1,4,195,200,2.90023,0,0.0,137.70871,9.11209,0.0,615.30843,477.59972,4,0
bookmia.00.40,62421,1.0,200.0,attack_train,131.95157,195.09531,0.67634,200,4.90469,0.09434,0.0,7,4,189,200,3.29566,0,0.0,106.20325,6.09541,0.0,723.03346,616.83021,4,0
bookmia.00.40,62423,1.0,200.0,attack_train,153.79248,195.09531,0.78829,200,4.90469,0.0553,0.0,13,4,183,200,3.41054,0,0.0,138.06129,7.61602,0.0,1565.71012,1427.64883,4,0
bookmia.00.40,62425,1.0,200.0,attack_train,143.36613,195.09531,0.73485,200,4.90469,0.10329,0.0,6,4,190,200,3.79447,0,0.0,181.70813,8.42195,0.0,833.11527,651.40714,4,0
bookmia.00.40,62424,1.0,200.0,attack_train,118.70809,195.09531,0.60846,200,4.90469,0.10185,0.0,2,4,194,200,2.61902,0,0.0,133.38331,9.84695,0.0,688.70827,555.32496,4,0
bookmia.00.46,96701,1.0,200.0,attack_train,139.11125,193.3875,0.71934,200,6.6125,0.06897,0.0,4,6,190,200,6.74382,0,0.0,153.50735,6.97906,0.0,1022.36823,868.86089,6,0
bookmia.00.46,96703,1.0,200.0,attack_train,130.60059,193.3875,0.67533,200,6.6125,0.07175,0.0,3,6,191,200,3.23183,0,0.0,149.60848,5.9502,0.0,766.16722,616.55874,6,0
bookmia.00.46,96705,1.0,200.0,attack_train,193.3875,193.3875,1.0,200,6.6125,0.08333,0.0,19,6,175,200,7.52239,0,0.0,170.97068,9.07272,0.0,728.70104,557.73036,6,0
bookmia.00.46,96704,1.0,200.0,attack_train,189.39174,193.3875,0.97934,200,6.6125,0.09302,0.0,3,6,191,200,4.64744,0,0.0,170.82762,7.2055,0.0,1087.67948,916.85186,6,0
bookmia.00.46,96706,1.0,200.0,attack_train,144.7832,193.3875,0.74867,200,6.6125,0.08929,0.0,4,6,190,200,4.98488,0,0.0,119.03239,7.98268,0.0,673.03096,553.99857,6,0
bookmia.00.46,96708,1.0,200.0,attack_train,135.02449,193.3875,0.69821,200,6.6125,0.0724,0.0,1,6,193,200,3.12591,0,0.0,161.21805,8.26695,0.0,854.60102,693.38297,6,0
bookmia.00.46,96707,1.0,200.0,attack_train,152.57607,193.3875,0.78897,200,6.6125,0.0885,0.0,11,6,183,200,4.25342,0,0.0,170.78382,6.32173,0.0,585.4467,414.66288,6,0
bookmia.00.46,96709,1.0,200.0,attack_train,174.14705,193.3875,0.90051,200,6.6125,0.07965,0.0,1,6,193,200,7.18315,0,0.0,175.45618,8.83128,0.0,641.42699,465.97081,6,0
bookmia.00.46,96711,1.0,200.0,attack_train,159.62735,193.3875,0.82543,200,6.6125,0.09045,0.0,13,6,181,200,7.23144,0,0.0,158.92722,7.09761,0.0,565.52288,406.59566,6,0
bookmia.00.46,96710,1.0,200.0,attack_train,159.17491,193.3875,0.82309,200,6.6125,0.0708,0.0,1,6,193,200,4.02826,0,0.0,142.88324,4.80407,0.0,636.04723,493.16398,6,0
bookmia.00.48,83367,1.0,200.0,attack_train,144.07452,195.66562,0.73633,200,4.33437,0.09091,0.0,0,4,196,200,3.02302,0,0.0,139.63168,5.4079,0.0,842.97148,703.3398,4,0
bookmia.00.48,83369,1.0,200.0,attack_train,142.15688,195.66562,0.72653,200,4.33437,0.06796,0.0,0,4,196,200,4.97246,0,0.0,149.08075,7.10498,0.0,583.16362,434.08287,4,0
bookmia.00.48,83371,1.0,200.0,attack_train,143.05598,195.66562,0.73112,200,4.33437,0.05333,0.0,0,4,196,200,4.14463,0,0.0,160.28178,5.47804,0.0,1624.0136,1463.73182,4,0
bookmia.00.48,83370,1.0,200.0,attack_train,193.22432,195.66562,0.98752,200,4.33437,0.05025,0.0,13,4,183,200,20.92002,0,0.0,210.38154,21.3498,0.0,583.57682,373.19528,4,0
bookmia.00.48,83372,1.0,200.0,attack_train,185.21822,195.66562,0.94661,200,4.33437,0.02062,0.0,25,4,171,200,3.97489,0,0.0,187.42627,6.15103,0.0,1827.94659,1640.52032,4,0
bookmia.00.48,83374,1.0,200.0,attack_train,141.63303,195.66562,0.72385,200,4.33437,0.10138,0.0,0,4,196,200,6.77428,0,0.0,150.15475,7.06969,0.0,613.16069,463.00594,4,0
bookmia.00.48,83373,1.0,200.0,attack_train,114.16644,195.66562,0.58348,200,4.33437,0.08612,0.0,1,4,195,200,2.60766,0,0.0,85.88517,5.43811,0.0,569.56127,483.6761,4,0
bookmia.00.48,83375,1.0,200.0,attack_train,128.8159,195.66562,0.65835,200,4.33437,0.04673,0.0,1,4,195,200,3.65884,0,0.0,137.62749,5.52138,0.0,1527.07193,1389.44444,4,0
bookmia.00.48,83377,1.0,200.0,attack_train,136.82901,195.66562,0.6993,200,4.33437,0.07442,0.0,0,4,196,200,3.76117,0,0.0,134.81191,5.71993,0.0,1025.99692,891.18502,4,0
bookmia.00.48,83376,1.0,200.0,attack_train,134.14148,195.66562,0.68556,200,4.33437,0.06,0.0,0,4,196,200,4.0106,0,0.0,127.96532,5.37369,0.0,1086.51457,958.54925,4,0
bookmia.00.64,45493,1.0,200.0,attack_train,132.93547,195.62187,0.67955,200,4.37813,0.10377,0.0,1,4,195,200,5.22394,0,0.0,113.91083,7.26763,0.0,636.02053,522.1097,4,0
bookmia.00.64,45495,1.0,200.0,attack_train,135.91882,195.62187,0.6948,200,4.37813,0.10427,0.0,0,4,196,200,3.52604,0,0.0,145.31494,6.59684,0.0,788.98378,643.66885,4,0
bookmia.00.64,45497,1.0,200.0,attack_train,173.67644,195.62187,0.88782,200,4.37813,0.07407,0.0,1,4,195,200,3.62377,0,0.0,167.09345,7.76722,0.0,1383.42012,1216.32668,4,0
bookmia.00.64,45496,1.0,200.0,attack_train,189.77051,195.62187,0.97009,200,4.37813,0.09009,0.0,2,4,194,200,9.05145,0,0.0,194.14644,11.87801,0.0,579.595,385.44856,4,0
bookmia.00.64,45498,1.0,200.0,attack_train,123.24264,195.62187,0.63,200,4.37813,0.10959,0.0,4,4,192,200,3.69241,0,0.0,133.17386,9.38549,0.0,827.95849,694.78463,4,0
bookmia.00.64,45500,1.0,200.0,attack_train,124.46141,195.62187,0.63623,200,4.37813,0.09524,0.0,0,4,196,200,3.24107,0,0.0,146.55677,6.31679,0.0,869.95367,723.3969,4,0
bookmia.00.64,45499,1.0,200.0,attack_train,130.40138,195.62187,0.6666,200,4.37813,0.08451,0.0,0,4,196,200,6.04278,0,0.0,124.67811,7.17864,0.0,852.33318,727.65507,4,0
bookmia.00.64,45501,1.0,200.0,attack_train,170.87239,195.62187,0.87348,200,4.37813,0.11282,0.0,9,4,187,200,4.33748,0,0.0,176.60033,6.22351,0.0,758.539,581.93867,4,0
bookmia.00.64,45503,1.0,200.0,attack_train,106.41605,195.62187,0.54399,200,4.37813,0.0905,0.0,1,4,195,200,2.84527,0,0.0,73.52744,5.70695,0.0,648.50084,574.9734,4,0
bookmia.00.64,45502,1.0,200.0,attack_train,92.61619,195.62187,0.47344,200,4.37813,0.07792,0.0,2,4,194,200,3.02398,0,0.0,74.3167,6.23733,0.0,535.0061,460.68941,4,0
bookmia.00.71,20779,1.0,200.0,attack_train,170.21478,191.20781,0.89021,200,8.79219,0.10945,0.0,9,8,183,200,5.9311,0,0.0,160.59214,8.14988,0.0,872.72376,712.13161,8,0
bookmia.00.71,20781,1.0,200.0,attack_train,157.15187,191.20781,0.82189,200,8.79219,0.1244,0.0,14,8,178,200,2.45165,0,0.0,131.35592,5.52204,0.0,1341.92251,1210.56658,8,0
bookmia.00.71,20783,1.0,200.0,attack_train,189.42982,191.20781,0.9907,200,8.79219,0.1267,0.0,21,8,171,200,5.58749,0,0.0,192.38763,7.67172,0.0,1070.1794,877.79178,8,0
bookmia.00.71,20782,1.0,200.0,attack_train,142.4252,191.20781,0.74487,200,8.79219,0.11454,0.0,24,8,168,200,2.79424,0,0.0,123.92277,6.99755,0.0,1453.65463,1329.73186,8,0
bookmia.00.71,20784,1.0,200.0,attack_train,179.51793,191.20781,0.93886,200,8.79219,0.09326,0.0,1,8,191,200,3.54964,0,0.0,154.81758,8.63908,0.0,1674.1103,1519.29272,8,0
bookmia.00.71,20786,1.0,200.0,attack_train,161.20088,191.20781,0.84307,200,8.79219,0.15023,0.0,18,8,174,200,3.10588,0,0.0,125.42256,8.10652,0.0,1090.785,965.36244,8,0
bookmia.00.71,20785,1.0,200.0,attack_train,190.17661,191.20781,0.99461,200,8.79219,0.08,0.0,37,8,155,200,9.45445,0,0.0,219.70551,6.93253,0.0,1466.37202,1246.66651,8,0
bookmia.00.71,20787,1.0,200.0,attack_train,162.41411,191.20781,0.84941,200,8.79219,0.08,0.0,18,8,174,200,2.55882,0,0.0,123.88402,4.32349,0.0,1752.61049,1628.72647,8,0
bookmia.00.71,20789,1.0,200.0,attack_train,136.7402,191.20781,0.71514,200,8.79219,0.11927,0.0,8,8,184,200,3.65952,0,0.0,132.28088,10.02913,0.0,932.66391,800.38303,8,0
bookmia.00.71,20788,1.0,200.0,attack_train,180.55347,191.20781,0.94428,200,8.79219,0.08205,0.0,1,8,191,200,4.37238,0,0.0,192.58027,8.36918,0.0,1392.08928,1199.509,8,0
bookmia.01.00,30982,1.0,200.0,attack_train,175.69904,192.80313,0.91129,200,7.19688,0.0404,0.0,49,7,144,200,3.24757,0,0.0,157.65719,5.39368,0.0,1920.22584,1762.56865,7,0
bookmia.01.00,30984,1.0,200.0,attack_train,170.42523,192.80313,0.88393,200,7.19688,0.08372,0.0,1,7,192,200,5.02387,0,0.0,192.73761,6.67683,0.0,1481.50365,1288.76604,7,0
bookmia.01.00,30986,1.0,200.0,attack_train,189.65204,192.80313,0.98366,200,7.19688,0.07143,0.0,2,7,191,200,3.81985,0,0.0,179.77149,6.81977,0.0,1367.06967,1187.29818,7,0
bookmia.01.00,30985,1.0,200.0,attack_train,181.9449,192.80313,0.94368,200,7.19688,0.06,0.0,3,7,190,200,4.74877,0,0.0,183.42607,5.4912,0.0,1364.2768,1180.85073,7,0
bookmia.01.00,30987,1.0,200.0,attack_train,192.0854,192.80313,0.99628,200,7.19688,0.0578,0.0,27,7,166,200,3.56377,0,0.0,188.16153,5.62836,0.0,1615.15518,1426.99365,7,0
bookmia.01.00,30989,1.0,200.0,attack_train,176.067,192.80313,0.9132,200,7.19688,0.02609,0.0,36,7,157,200,9.13383,0,0.0,176.39922,11.97102,0.0,2062.41606,1886.01684,7,0
bookmia.01.00,30988,1.0,200.0,attack_train,181.35451,192.80313,0.94062,200,7.19688,0.04785,0.0,53,7,140,200,4.72326,0,0.0,174.05753,5.69428,0.0,1747.68471,1573.62718,7,0
bookmia.01.00,30990,1.0,200.0,attack_train,189.27568,192.80313,0.9817,200,7.19688,0.09326,0.0,14,7,179,200,3.92523,0,0.0,181.28007,6.99671,0.0,1112.25104,930.97097,7,0
bookmia.01.00,30992,1.0,200.0,attack_train,166.22267,192.80313,0.86214,200,7.19688,0.08612,0.0,3,7,190,200,2.94252,0,0.0,151.2544,6.43753,0.0,892.74104,741.48664,7,0
bookmia.01.00,30991,1.0,200.0,attack_train,181.16982,192.80313,0.93966,200,7.19688,0.06061,0.0,21,7,172,200,5.45756,0,0.0,165.79701,6.58252,0.0,1728.35506,1562.55804,7,0
bookmia.01.01,8601,1.0,200.0,attack_train,166.98463,193.91875,0.86111,200,6.08125,0.15385,0.0,4,6,190,200,3.86778,0,0.0,145.34543,6.91443,0.0,714.62761,569.28218,6,0
bookmia.01.01,8603,1.0,200.0,attack_train,183.90276,193.91875,0.94835,200,6.08125,0.06573,0.0,0,6,194,200,3.34411,0,0.0,152.31587,8.3774,0.0,1395.9277,1243.61183,6,0
bookmia.01.01,8605,1.0,200.0,attack_train,174.39186,193.91875,0.8993,200,6.08125,0.07921,0.0,11,6,183,200,2.95149,0,0.0,185.26178,7.4979,0.0,1397.09161,1211.82982,6,0
bookmia.01.01,8604,1.0,200.0,attack_train,161.7457,193.91875,0.83409,200,6.08125,0.08955,0.0,0,6,194,200,4.23927,0,0.0,157.78638,7.1595,0.0,1434.09239,1276.30601,6,0
bookmia.01.01,8606,1.0,200.0,attack_train,175.56627,193.91875,0.90536,200,6.08125,0.08,0.0,0,6,194,200,6.67602,0,0.0,194.71783,7.9887,0.0,814.26808,619.55025,6,0
bookmia.01.01,8608,1.0,200.0,attack_train,186.96201,193.91875,0.96413,200,6.08125,0.07143,0.0,23,6,171,200,3.85252,0,0.0,177.81047,5.45188,0.0,1313.51221,1135.70174,6,0
bookmia.01.01,8607,1.0,200.0,attack_train,174.07919,193.91875,0.89769,200,6.08125,0.09,0.0,49,6,145,200,2.5452,0,0.0,184.1166,6.02287,0.0,1558.27938,1374.16278,6,0
bookmia.01.01,8609,1.0,200.0,attack_train,190.74149,193.91875,0.98362,200,6.08125,0.09045,0.0,6,6,188,200,5.5007,0,0.0,170.2254,6.5334,0.0,1315.47156,1145.24616,6,0
bookmia.01.01,8611,1.0,200.0,attack_train,178.66153,193.91875,0.92132,200,6.08125,0.08,0.0,5,6,189,200,3.42398,0,0.0,168.44628,8.53604,0.0,1632.32529,1463.879,6,0
bookmia.01.01,8610,1.0,200.0,attack_train,180.17203,193.91875,0.92911,200,6.08125,0.09434,0.0,0,6,194,200,4.89095,0,0.0,149.51414,7.02596,0.0,1403.07802,1253.56388,6,0
bookmia.01.02,86220,1.0,200.0,attack_train,193.60001,193.60001,1.0,200,6.4,0.0663,0.0,76,6,118,200,5.29642,0,0.0,208.78998,7.81949,0.0,1664.11862,1455.32864,6,0
bookmia.01.02,86222,1.0,200.0,attack_train,169.50246,193.60001,0.87553,200,6.4,0.07,0.0,5,6,189,200,4.42799,0,0.0,178.33004,7.98234,0.0,1068.94949,890.61945,6,0
bookmia.01.02,86224,1.0,200.0,attack_train,184.99556,193.60001,0.95556,200,6.4,0.05797,0.0,6,6,188,200,3.09585,0,0.0,186.15542,6.71043,0.0,1353.4321,1167.27668,6,0
bookmia.01.02,86223,1.0,200.0,attack_train,193.60001,193.60001,1.0,200,6.4,0.07254,0.0,24,6,170,200,5.63269,0,0.0,177.58416,6.89881,0.0,1667.21122,1489.62706,6,0
bookmia.01.02,86225,1.0,200.0,attack_train,193.60001,193.60001,1.0,200,6.4,0.06122,0.0,8,6,186,200,6.67311,0,0.0,181.56928,7.70607,0.0,1064.85243,883.28314,6,0
bookmia.01.02,86227,1.0,200.0,attack_train,0.0,-3.4,-0.0,3,6.4,0.0,0.0,0,3,0,3,0.0,0,0.0,0.0,0.0,0.0,11.72797,11.72797,3,0
bookmia.01.02,86226,1.0,200.0,attack_train,174.24857,193.60001,0.90004,200,6.4,0.06481,0.0,5,6,189,200,4.27514,0,0.0,191.56329,6.26206,0.0,1806.82646,1615.26317,6,0
bookmia.01.02,86228,1.0,200.0,attack_train,173.46777,193.60001,0.89601,200,6.4,0.07609,0.0,33,6,161,200,2.64854,0,0.0,150.94891,6.28153,0.0,1721.85379,1570.90488,6,0
bookmia.01.02,86230,1.0,200.0,attack_train,184.36513,193.60001,0.9523,200,6.4,0.08939,0.0,9,6,185,200,4.36606,0,0.0,181.3337,9.31855,0.0,851.4149,670.0812,6,0
bookmia.01.02,86229,1.0,200.0,attack_train,157.06831,193.60001,0.8113,200,6.4,0.08333,0.0,9,6,185,200,6.41802,0,0.0,145.65544,6.73713,0.0,594.91508,449.25964,6,0
bookmia.01.03,63839,1.0,200.0,attack_train,173.05368,194.75313,0.88858,200,5.24687,0.01036,0.0,25,5,170,200,3.29649,0,0.0,166.78505,7.4096,0.0,2088.48284,1921.6978,5,0
bookmia.01.03,63841,1.0,200.0,attack_train,139.60266,194.75313,0.71682,200,5.24687,0.08333,0.0,0,5,195,200,4.07958,0,0.0,115.71599,6.46285,0.0,858.29746,742.58147,5,0
bookmia.01.03,63843,1.0,200.0,attack_train,161.62332,194.75313,0.82989,200,5.24687,0.09217,0.0,3,5,192,200,4.35579,0,0.0,125.86705,11.19972,0.0,1150.086,1024.21895,5,0
bookmia.01.03,63842,1.0,200.0,attack_train,184.53288,194.75313,0.94752,200,5.24687,0.08649,0.0,1,5,194,200,3.97581,0,0.0,153.93706,7.63333,0.0,1297.46688,1143.52981,5,0
bookmia.01.03,63844,1.0,200.0,attack_train,192.15019,194.75313,0.98663,200,5.24687,0.06829,0.0,68,5,127,200,3.82563,0,0.0,177.9208,6.89927,0.0,1631.65378,1453.73298,5,0
bookmia.01.03,63846,1.0,200.0,attack_train,163.26981,194.75313,0.83834,200,5.24687,0.00909,0.0,40,5,155,200,5.48217,0,0.0,172.44628,7.16485,0.0,2028.13052,1855.68424,5,0
bookmia.01.03,63845,1.0,200.0,attack_train,186.9865,194.75313,0.96012,200,5.24687,0.08295,0.0,35,5,160,200,4.43296,0,0.0,190.75873,5.42877,0.0,1637.05947,1446.30074,5,0
bookmia.01.03,63847,1.0,200.0,attack_train,189.03596,194.75313,0.97064,200,5.24687,0.07778,0.0,2,5,193,200,8.24961,0,0.0,186.17833,9.91526,0.0,972.86081,786.68248,5,0
bookmia.01.03,63849,1.0,200.0,attack_train,180.00949,194.75313,0.9243,200,5.24687,0.05797,0.0,19,5,176,200,2.61848,0,0.0,146.10109,6.31552,0.0,1658.41532,1512.31423,5,0
bookmia.01.03,63848,1.0,200.0,attack_train,189.32991,194.75313,0.97215,200,5.24687,0.02804,0.0,37,5,158,200,6.35228,0,0.0,211.71638,7.77734,0.0,1918.69142,1706.97504,5,0
bookmia.01.04,20506,1.0,200.0,attack_train,160.54459,192.80937,0.83266,200,7.19063,0.10732,0.0,0,7,193,200,3.30233,0,0.0,135.03851,7.04011,0.0,851.21848,716.17997,7,0
bookmia.01.04,20508,1.0,200.0,attack_train,161.34694,192.80937,0.83682,200,7.19063,0.09709,0.0,2,7,191,200,4.06751,0,0.0,161.56697,8.7174,0.0,1279.63603,1118.06906,7,0
bookmia.01.04,20510,1.0,200.0,attack_train,188.97281,192.80937,0.9801,200,7.19063,0.12621,0.0,23,7,170,200,7.36909,0,0.0,208.11369,9.50382,0.0,1341.74185,1133.62816,7,0
bookmia.01.04,20509,1.0,200.0,attack_train,189.3325,192.80937,0.98197,200,7.19063,0.06965,0.0,79,7,114,200,2.95179,0,0.0,186.98176,5.70793,0.0,1829.7477,1642.76594,7,0
bookmia.01.04,20511,1.0,200.0,attack_train,163.25862,192.80937,0.84674,200,7.19063,0.05405,0.0,1,7,192,200,5.20159,0,0.0,148.75096,9.54888,0.0,1852.8324,1704.08144,7,0
bookmia.01.04,20513,1.0,200.0,attack_train,182.93889,192.80937,0.94881,200,7.19063,0.07767,0.0,8,7,185,200,6.37333,0,0.0,169.38567,7.09362,0.0,1384.30474,1214.91907,7,0
bookmia.01.04,20512,1.0,200.0,attack_train,192.80937,192.80937,1.0,200,7.19063,0.09574,0.0,23,7,170,200,7.09206,0,0.0,210.97411,8.52502,0.0,1116.10017,905.12606,7,0
bookmia.01.04,20514,1.0,200.0,attack_train,188.31808,192.80937,0.97671,200,7.19063,0.04848,0.0,71,7,122,200,2.21373,0,0.0,201.2194,5.41282,0.0,1733.99265,1532.77325,7,0
bookmia.01.04,20516,1.0,200.0,attack_train,186.68129,192.80937,0.96822,200,7.19063,0.05682,0.0,37,7,156,200,6.6035,0,0.0,189.03889,8.73265,0.0,929.03806,739.99917,7,0
bookmia.01.04,20515,1.0,200.0,attack_train,138.79996,192.80937,0.71988,200,7.19063,0.10526,0.0,0,7,193,200,2.61451,0,0.0,120.68182,6.97121,0.0,689.50291,568.82109,7,0
bookmia.01.07,53363,1.0,200.0,attack_train,174.97392,193.33125,0.90505,200,6.66875,0.16346,0.0,1,6,193,200,6.02221,0,0.0,166.95647,10.66425,0.0,753.74116,586.78469,6,0
bookmia.01.07,53365,1.0,200.0,attack_train,164.38397,193.33125,0.85027,200,6.66875,0.07547,0.0,2,6,192,200,4.07296,0,0.0,168.90866,8.33488,0.0,1240.4255,1071.51684,6,0
bookmia.01.07,53367,1.0,200.0,attack_train,146.33134,193.33125,0.75689,200,6.66875,0.0885,0.0,1,6,193,200,4.85717,0,0.0,130.97488,5.70865,0.0,1406.59856,1275.62368,6,0
bookmia.01.07,53366,1.0,200.0,attack_train,171.49345,193.33125,0.88704,200,6.66875,0.05479,0.0,25,6,169,200,3.52368,0,0.0,190.5586,8.9436,0.0,1776.47226,1585.91365,6,0
