constraint,k,split,n,steps_forced_pct,steps_active_pct,steps_free_pct,identical_to_risky_pct,utilisation_median,utilisation_max,ratio_utilisation_max,risky_nll_per_token_mean,gen_len_mean
kl,1.0,factual,450,3.37,6.92,89.71,0.4,0.792,1.0,0.0,3.6958,200
kl,1.0,neutral,600,26.08,3.24,70.67,7.8,0.737,1.0,0.0,3.7679,200
kl,1.0,test,450,3.22,5.47,91.31,3.1,0.855,1.0,0.0,4.8527,200
kl,1.0,val,450,2.98,3.29,93.73,4.4,0.766,1.0,0.0,4.0415,200
pathwise,0.5,all,2700,15.58,56.15,28.27,0,0.868,1.498,0.991,4.3249,200
pathwise,0.5,attack_train,300,10.32,63.1,26.58,0,0.891,1.459,0.984,4.8439,200
pathwise,0.5,creative,450,20.84,52.6,26.55,0,0.874,1.386,0.991,4.7617,200
pathwise,0.5,factual,450,10.22,59.96,29.82,0,0.867,1.498,0.986,3.961,200
pathwise,0.5,neutral,600,27.46,46.4,26.14,0,0.819,1.321,0.987,3.8103,200
pathwise,0.5,test,450,9.51,62.11,28.39,0,0.896,1.375,0.985,4.8045,200
pathwise,0.5,val,450,9.39,58.29,32.32,0,0.882,1.415,0.978,4.1123,200
pathwise,1.0,all,2700,10.6,14.56,74.84,0,0.743,1.092,0.999,4.3836,200
pathwise,1.0,attack_train,300,5.12,16.77,78.11,0,0.782,1.092,0.984,5.0781,200
pathwise,1.0,creative,450,15.46,13.6,70.94,0,0.759,1.025,0.984,5.056,200
pathwise,1.0,factual,450,3.27,17.27,79.46,0,0.751,1.037,0.99,3.6517,200
pathwise,1.0,neutral,600,23.68,11.74,64.59,0,0.669,1.054,0.999,3.8596,200
pathwise,1.0,test,450,4.84,15.66,79.5,0,0.763,1.058,0.985,4.7532,200
pathwise,1.0,val,450,5.04,13.99,80.97,0,0.725,1.009,0.98,4.3094,200
pathwise,3.0,all,2700,6.11,1.94,91.95,0.1,0.274,0.755,0.698,4.145,200
pathwise,3.0,attack_train,300,1.76,2.05,96.19,0,0.291,0.501,0.517,4.6774,200
pathwise,3.0,creative,450,10.09,1.75,88.16,0,0.289,0.658,0.687,4.9907,200
pathwise,3.0,factual,450,0.48,2.15,97.37,0.2,0.269,0.642,0.664,3.2063,200
pathwise,3.0,neutral,600,17.03,1.78,81.19,0.3,0.255,0.755,0.698,3.6346,200
pathwise,3.0,test,450,1.38,1.96,96.67,0,0.283,0.44,0.488,4.656,200
pathwise,3.0,val,450,0.85,2.04,97.12,0,0.258,0.547,0.591,4.0527,200
pathwise,5.0,all,2700,1.31,1.12,97.57,0.3,0.167,0.386,0.398,4.1998,200
pathwise,5.0,attack_train,300,1.07,1.08,97.85,0,0.178,0.303,0.305,4.638,200
pathwise,5.0,creative,450,3.56,1.05,95.39,0,0.177,0.318,0.324,5.1031,200
pathwise,5.0,factual,450,0.06,1.23,98.71,0.7,0.163,0.386,0.398,3.2459,200
pathwise,5.0,neutral,600,2.0,1.13,96.88,0.7,0.163,0.357,0.344,3.7776,200
pathwise,5.0,test,450,0.59,1.08,98.33,0,0.169,0.386,0.384,4.6613,200
pathwise,5.0,val,450,0.28,1.13,98.59,0,0.156,0.328,0.337,4.06,200
pathwise,10.0,all,2700,0.02,0.52,99.46,0.5,0.084,0.193,0.199,4.1312,200
pathwise,10.0,attack_train,300,0.01,0.55,99.45,0,0.091,0.15,0.16,4.5962,200
pathwise,10.0,creative,450,0.0,0.5,99.5,0,0.089,0.161,0.165,5.0734,200
pathwise,10.0,factual,450,0.0,0.54,99.46,1.6,0.08,0.193,0.199,2.9308,200
pathwise,10.0,neutral,600,0.0,0.5,99.5,1.2,0.083,0.179,0.172,3.9049,200
pathwise,10.0,test,450,0.12,0.51,99.37,0,0.086,0.193,0.192,4.4627,200
pathwise,10.0,val,450,0.0,0.52,99.48,0,0.079,0.146,0.146,4.0497,200
pathwise,20.0,all,2700,0.06,0.01,99.93,1.6,0.042,0.096,0.096,4.1265,200
pathwise,20.0,attack_train,300,0.0,0.02,99.98,0,0.046,0.071,0.074,4.5555,200
pathwise,20.0,creative,450,0.0,0.0,100.0,0,0.044,0.078,0.079,5.1416,200
pathwise,20.0,factual,450,0.18,0.0,99.82,4.0,0.04,0.077,0.078,2.9476,200
pathwise,20.0,neutral,600,0.0,0.0,100.0,4.0,0.042,0.09,0.086,3.8543,200
pathwise,20.0,test,450,0.19,0.02,99.79,0,0.044,0.096,0.096,4.5843,200
pathwise,20.0,val,450,0.0,0.01,99.99,0,0.04,0.073,0.073,3.9096,200
